,,,,,,,,
N=7,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,Bom(0) Ruim(1),-
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,,
2,-0.062692319654,47.646336650761,0.1122983733,-0.2827775137,-27542.1240226543,-27542.123417135823,1,
4,-0.062682417594,47.72502944698,0.06827801219,-0.3429745061,-27542.1239855758,-27542.123412970592,1,
2,-0.062594437653,46.35593750326,0.1525630027,-0.1578793021,-27542.1242178333,-27542.123610528615,1,
2,-0.062412579281,47.068714058878,0.2587323915,-0.008117974026,-27542.1243573253,-27542.123697216524,1,
2,-0.062382745924,49.170339037101,0.1048879659,-0.2811254255,-27542.1230979737,-27542.122617640001,1,
2,-0.062278564199,50.439264747413,0.1024305189,-0.2947124722,-27542.1230718622,-27542.122477906127,1,
1,-0.062186967798,49.342678607301,0.1769604197,-0.1758958999,-27542.1232735168,-27542.122676669656,1,
1,-0.062167923465,49.357384745263,0.159597724,-0.1823689396,-27542.123642614,-27542.122784564042,1,
2,-0.062093585308,49.597156585434,0.1046320958,-0.2887747074,-27542.1235088918,-27542.123056089033,1,
6,-0.06209356568,53.206982147975,0.0000005831156963,-0.5321243168,-27542.1233884508,-27542.122942006834,1,
1,-0.061994337181,54.597122853141,0.002455802348,-0.5383949059,-27542.1227488018,-27542.122021368315,1,
4,-0.061885274018,54.782791558369,0.1071122056,-0.4923375529,-27542.1238363581,-27542.123056634537,1,
1,-0.06178432549,50.760574019197,0.1133186202,-0.3225420566,-27542.1245524299,-27542.123447184724,0,
2,-0.061697950824,49.963770444065,0.007905507069,-0.3098781858,-27542.12285691,-27542.122304944191,1,
1,-0.06165002747,52.69908926865,0.2498830877,-0.1523809538,-27542.1226384998,-27542.122448991940,1,
2,-0.061485180784,53.064202612768,0.2957871619,-0.1027494944,-27542.1230979386,-27542.122255047510,1,
2,-0.061373970331,54.265739063176,0.1873899369,-0.3244566478,-27542.123108171,-27542.122516945015,1,
2,-0.06069915328,47.747596516651,0.1344827321,-0.1796930576,-27542.1248114915,-27542.119017141606,0,
2,-0.060547573672,46.881685528515,0.2475704293,-0.003269356954,-27542.1203731324,-27542.119421539384,1,
1,-0.060450748002,49.004114217788,0.201637475,-0.1460568772,-27542.1237457948,-27542.118824151014,1,
1,-0.060219979023,50.038347124387,0.1469961119,-0.2899272732,-27542.1237455145,-27542.118549793642,1,
1,-0.060033255873,51.895849627954,0.1290009722,-0.265696051,-27542.1235314606,-27542.117118333859,1,
1,-0.062080120263,48.562007029749,0.2574808189E+00,-0.7578944339E-01,-27542.1255572,-27542.1230108,0,
6,-0.062071911451,46.901516733095,0.2468741257E-04,-0.1462764904E+00,-27542.1239288,-27542.1231502,1,
6,-0.062070994325,52.865827488714,0.5390845509E-06,-0.5275596809E+00,-27542.1225963,-27542.1221323,1,
1,-0.062023739722,49.354774620434,0.1482821120E+00,-0.2000891780E+00,-27542.123666,-27542.1229759,1,
1,-0.062005545331,51.404312510042,0.1064607976E+00,-0.3231824526E+00,-27542.1235572,-27542.1228598,1,
1,-0.062001073333,54.800995971000,0.2494020896E-01,-0.5156431907E+00,-27542.1233912,-27542.1227570,1,
1,-0.062000273899,53.527532412594,0.6556040131E-01,-0.4387566090E+00,-27542.1234388,-27542.1227989,1,
1,-0.061925587265,48.033295433529,0.1067985716E+00,-0.9818456302E-01,-27542.1237404,-27542.1231735,1,
1,-0.061919034105,51.220536920976,0.1951544354E+00,-0.2695869527E+00,-27542.1252002,-27542.1231032,0,
1,-0.061918091545,51.965432741797,0.1591038423E+00,-0.3391372545E+00,-27542.1236003,-27542.1230618,1,
1,-0.061902118227,49.778661200405,0.1761972434E+00,-0.2219219804E+00,-27542.1239835,-27542.1231736,1,
2,-0.061900229738,48.258365012903,0.8610716486E-01,-0.1411466373E+00,-27542.124086,-27542.1233327,1,
2,-0.061829792776,47.568177569864,0.9005893083E-01,-0.2479965044E-01,-27542.1243197,-27542.1235621,1,
2,-0.061742102795,49.202010903328,0.1011633190E+00,-0.6141369707E-01,-27542.1244682,-27542.1233805,1,
2,-0.061717803452,48.773323147344,0.1251946006E+00,-0.2217706260E+00,-27542.1245117,-27542.1238626,0,
2,-0.061669732984,50.010058443831,0.1757566088E+00,-0.1607951752E+00,-27542.124225,-27542.1236941,1,
1,-0.061667043731,52.264433984872,0.2494790382E+00,-0.1443560997E+00,-27542.1226627,-27542.1220407,1,
1,-0.061466722274,54.585691659404,0.9246815434E-01,-0.3489001865E+00,-27542.1232121,-27542.1222074,1,
2,-0.060692607637,48.457836268512,0.1734811518E+00,-0.2312690741E+00,-27542.1254938,-27542.1188792,0,
2,-0.060677511895,46.783266892867,0.1902035389E+00,-0.9596360605E-01,-27542.124743,-27542.1194498,0,
1,-0.060676895279,46.132523000187,0.2331766216E+00,-0.3939558008E-01,-27542.124737,-27542.1201306,0,
1,-0.060512338041,47.188981106665,0.1598771523E+00,-0.1333401309E+00,-27542.1242008,-27542.1183707,1,
1,-0.060510051801,48.466812252382,0.5618060148E-01,-0.2559035360E+00,-27542.1238748,-27542.1191025,1,
1,-0.060441123652,48.550764834028,0.1688707952E+00,-0.8744855526E-01,-27542.1241393,-27542.1187447,1,
1,-0.060213053923,51.645632473176,0.1247230953E+00,-0.3905544421E+00,-27542.1239601,-27542.1194718,1,
N=11,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,,
2,-0.065187503632,49.362173028096,0.1562823436,-0.05042769028,-30295.6048879394,-30295.604167260259,0,
1,-0.065173247832,50.205198784981,0.1244705518,-0.1989042365,-30295.6038844381,-30295.603309559890,1,
1,-0.065096540411,50.942453468693,0.09566730714,-0.2297978834,-30295.6039317112,-30295.603228883869,1,
1,-0.065080366805,52.434070061914,0.1587868779,-0.1688862894,-30295.6036243869,-30295.602922995604,1,
1,-0.065076598499,51.197297685189,0.1196928473,-0.2236184513,-30295.6038279144,-30295.603209386973,1,
1,-0.065074386892,50.26839564744,0.1485159048,-0.1520768218,-30295.6041318091,-30295.603480042784,1,
1,-0.065040746307,50.164858674053,0.1200122198,-0.183389945,-30295.6040618982,-30295.603341495531,1,
1,-0.065035522007,50.363363892576,0.1832945926,-0.1368420793,-30295.6042802194,-30295.603615190972,1,
2,-0.065011640199,51.458117164697,0.1198376673,-0.2449334484,-30295.6035086488,-30295.602945786879,1,
1,-0.065007603754,51.364038249871,0.124010085,-0.2334665043,-30295.6035061627,-30295.602957404721,1,
2,-0.064918187385,56.131082249533,0.06923520078,-0.4382665994,-30295.6029655018,-30295.60236,1,
1,-0.064815544065,55.379251451194,0.09549268951,-0.3997266357,-30295.6032161294,-30295.602536905983,1,
2,-0.064688234886,53.050427778659,0.1912731021,-0.1918468862,-30295.6041248724,-30295.603597617388,1,
2,-0.064550339607,53.967457414302,0.2020712157,-0.0689669378,-30295.603061547,-30295.602382907189,1,
2,-0.064499609377,54.483892896421,0.205625822,-0.2043436177,-30295.6041690047,-30295.603691143813,1,
2,-0.064314860409,52.411110231525,0.1204539761,-0.03628447155,-30295.6037542105,-30295.602993778448,1,
1,-0.064175606119,52.362675920592,0.02388319287,-0.1600870771,-30295.6038342895,-30295.603132789311,1,
1,-0.064052826644,57.013693621545,0.2143938361,-0.2853382963,-30295.6037176742,-30295.60318,1,
1,-0.063872630877,60.424487430415,0.08955767802,-0.3206713638,-30295.6023732205,-30295.601795237482,1,
1,-0.063605844586,48.918178487344,0.17403507,-0.07339449442,-30295.6047857841,-30295.600443256597,0,
1,-0.063263858107,51.544947249455,0.1690815144,-0.08884025088,-30295.6057408448,-30295.599161867791,0,
2,-0.06319546934,52.369481200586,0.2073637413,-0.1039430822,-30295.6046605282,-30295.599024947718,1,
2,-0.063049210876,50.563190514039,0.1687739691,-0.01733715782,-30295.6056222604,-30295.598557043159,0,
1,-0.062896021688,53.452579018809,0.1604009909,-0.266342225,-30295.6055945067,-30295.597674746954,0,
2,-0.062553877695,55.920114683507,0.04167448409,-0.09133473064,-30295.597536755,-30295.596699271002,1,
2,-0.064987943507,52.584650906148,0.197159228,-0.1739056759,-30295.6037338879,-30295.603139022598,1,
1,-0.064793673658,54.399463497281,0.143024405,-0.3110792395,-30295.6039743196,-30295.60334630,1,
1,-0.064793673658,54.399463497281,0.143024405,-0.3110792395,-30295.6038386323,-30295.60319787,1,
2,-0.064786035728,54.002899751023,0.1558503556,-0.1568556852,-30295.6026561492,-30295.60216270,1,
2,-0.064781656532,56.521260307765,0.07667784001,-0.4480532508,-30295.603810849,-30295.60330363,1,
2,-0.064778579639,56.297001561725,0.07460801389,-0.4488371285,-30295.6030845635,-30295.60249428,1,
2,-0.064764441328,54.278016898437,0.01972764468,-0.4374324358,-30295.6027473688,-30295.602242174857,1,
2,-0.064687084059,55.025957003074,0.117179532,-0.3553352293,-30295.602905459,-30295.602321619303,1,
1,-0.064675699739,50.295688511876,0.1125087825,-0.04742292921,-30295.6045934018,-30295.603798408098,1,
4,-0.064549384605,50.29393244764,0.1992061029,-0.007192936622,-30295.6029081465,-30295.602321619383,1,
1,-0.06454921382,52.773253817242,0.2026516752,-0.1801509921,-30295.6045537962,-30295.60382318,1,
2,-0.064526155067,54.884463381682,0.26132946,-0.06520608325,-30295.6029054377,-30295.602321619048,1,
2,-0.06450692116,51.228713951565,0.08294302297,-0.01747520133,-30295.6043510575,-30295.60378,1,
1,-0.064269329976,55.871693866103,0.09513843869,-0.2994129584,-30295.603530088,-30295.60273,1,
1,-0.064252031577,58.901359807122,0.07270467364,-0.4491367023,-30295.604040306,-30295.60267528,1,
1,-0.064230455702,51.832001965249,0.09940084676,-0.08536896874,-30295.6039989562,-30295.603245769082,1,
1,-0.064163162738,56.493787179142,0.08597161607,-0.3596800463,-30295.603775288,-30295.60291590,1,
1,-0.064144285661,57.741565925384,0.09019659894,-0.412414467,-30295.6040396008,-30295.602946680905,1,
1,-0.064143264493,57.124865789717,0.1473065981,-0.3582346143,-30295.6041127201,-30295.60297918,1,
1,-0.064126801856,58.158604489302,0.1162013642,-0.3744738626,-30295.6021403461,-30295.60161643,1,
1,-0.064052826644,57.013693621545,0.2143938361,-0.2853382963,-30295.6037160873,-30295.60318373,1,
1,-0.06403874194,57.424143136365,0.2234548167,-0.1200327906,-30295.6021403641,-30295.60161643,1,
1,-0.063563610562,59.015457513954,0.100451324,-0.2334067243,-30295.6050844016,-30295.60217840,0,
2,-0.063535548212,50.164461429226,0.0819230872,-0.1918292667,-30295.6043712354,-30295.59970831,1,
1,-0.063263858107,51.544947249455,0.1690815144,-0.08884025088,-30295.6043712354,-30295.59916187,1,
1,-0.063244562958,51.647804974338,0.2394796835,-0.08539387515,-30295.6045269848,-30295.59879298,1,
1,-0.063147535879,52.741859159979,0.1503992407,-0.2187144467,-30295.6043664898,-30295.59865890,1,
1,-0.063147535879,52.741859159979,0.1503992407,-0.2187144467,-30295.6045745862,-30295.59893,1,
2,-0.063011250636,51.767073170331,0.0006856270725,-0.2534579311,-30295.6040439223,-30295.59802364,1,
,,,,,,,,
N=12,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,,
2,-0.068011009916,53.018473201213,0.01167685631,-0.2494360226,-33049.0844902086,-33049.083772676240,1,
1,-0.067897388286,53.425130854474,0.1651968023,-0.1459598955,-33049.0847755656,-33049.083984079749,1,
2,-0.067872004616,54.136194666085,0.1225945652,-0.106492716,-33049.0862371344,-33049.083519544904,0,
2,-0.067853338529,52.288594721187,0.01765663409,-0.2233879001,-33049.0856447096,-33049.083832289565,0,
1,-0.067843528968,53.398870337058,0.2305353167,-0.02876862783,-33049.0846636272,-33049.083930371940,1,
2,-0.067812985076,53.501806138871,0.189690025,-0.1085788517,-33049.0846152952,-33049.083977717004,1,
1,-0.067763269716,52.375223049116,0.05608122834,-0.1302948934,-33049.0848050319,-33049.084058025750,1,
2,-0.067763099258,52.398387022747,0.06124196229,-0.1239115028,-33049.0848501849,-33049.084212256246,1,
6,-0.067761685673,52.400156338571,0.00001244159298,-0.04444090832,-33049.0855316536,-33049.084824815094,0,
1,-0.067752068389,52.89135792317,0.1155361434,-0.1269667861,-33049.0848672098,-33049.084034520638,1,
1,-0.067617001304,55.469605667864,0.2562883077,-0.01918965564,-33049.0854724,-33049.083076754716,0,
1,-0.067493196176,56.004634171084,0.1023285755,-0.3047150735,-33049.083345699,-33049.082784560029,1,
2,-0.067287151336,56.914358126601,0.1238038814,-0.2436672723,-33049.0840302269,-33049.083364496553,1,
1,-0.067199485706,59.023566896663,0.09069206673,-0.3566681042,-33049.0830838436,-33049.082338341250,1,
1,-0.067044280618,60.41316607688,0.1303299284,-0.3397669378,-33049.0844771136,-33049.082447978639,1,
1,-0.066977234214,55.48670807082,0.0634422557,-0.1430523742,-33049.0837497499,-33049.082884768402,1,
2,-0.066875700096,65.247915716306,0.1016762379,-0.47953465,-33049.0829160933,-33049.082371169301,1,
1,-0.066782009293,57.158684635144,0.09374533166,-0.2251001639,-33049.084542563,-33049.08378156,1,
2,-0.066662598423,62.81553839452,0.06276312027,-0.4225661744,-33049.0831453211,-33049.082412311611,0,
1,-0.066532627939,50.537786775922,0.09997715239,-0.04671603283,-33049.0831291788,-33049.082412311633,1,
2,-0.066137843376,54.482628921048,0.04591122922,-0.06369983282,-33049.0857643637,-33049.078555535234,1,
4,-0.065977253133,53.526700157677,0.01049554025,-0.02486499998,-33049.0849482851,-33049.078765636215,1,
1,-0.065416027377,54.825588523963,0.09127984794,-0.1942877024,-33049.0846000076,-33049.080835739675,1,
1,-0.067742015708,53.851547109953,0.1662731808,-0.1398252906,-33049.0844715963,-33049.08384909,1,
1,-0.067707207245,57.474571119739,0.1285704509,-0.3114049148,-33049.0835526237,-33049.08286862,1,
1,-0.067560901598,56.934442437677,0.2042777108,-0.2247800013,-33049.0845846018,-33049.08378698,1,
2,-0.067487331287,60.456009874955,0.1012051983,-0.4374530793,-33049.082977674,-33049.08227760,1,
1,-0.067480407364,56.161163834601,0.2382974456,-0.03060486828,-33049.0834992611,-33049.08275728,1,
2,-0.067447592657,51.735820974307,0.05352307806,-0.1277678967,-33049.08416257,-33049.08416,1,
1,-0.067302190396,57.455185842138,0.09853310865,-0.3495897436,-33049.0830797141,-33049.08250785,1,
2,-0.067264381841,57.23474984727,0.1307466126,-0.2959487772,-33049.0852720041,-33049.08273867,0,
2,-0.067261760801,57.239319186659,0.2842679865,-0.08301302871,-33049.0836585952,-33049.08307620,1,
1,-0.067257746919,57.525221905631,0.1166244005,-0.2990748986,-33049.0838095191,-33049.08329567,1,
1,-0.06725642826,59.195277571152,0.1053174745,-0.360580151,-33049.0837629203,-33049.08325533,1,
1,-0.067229141634,57.82333505183,0.127495873,-0.2734379351,-33049.0831365622,-33049.08237394,1,
1,-0.067182540075,59.517613918413,0.0798436354,-0.3526879478,-33049.083797221,-33049.08304574,1,
1,-0.067030594134,59.401494343914,0.1297942967,-0.2983362591,-33049.0838860655,-33049.08311725,1,
1,-0.067029589322,59.761404044078,0.1499639692,-0.3236711901,-33049.0839382631,-33049.08307018,1,
1,-0.066969903911,58.890188450911,0.03993007996,-0.3435428992,-33049.0850866898,-33049.08264059,1,
1,-0.06685977779,60.528366135084,0.2532326407,-0.1447743205,-33049.0837531125,-33049.08321874,1,
2,-0.066852243053,62.626714648858,0.1218118999,-0.42987524,-33049.0815638492,-33049.08105049,1,
1,-0.066782009293,57.158684635144,0.09374533166,-0.2251001639,-33049.0845425328,-33049.08378156,1,
1,-0.066753593888,56.525092342732,0.1287153893,-0.1495049555,-33049.0848321984,-33049.08380,1,
1,-0.0665206323,63.955178830401,0.06458152312,-0.4281141486,-33049.0831679593,-33049.08240694,1,
2,-0.066090431823,66.106659153702,0.06347843503,-0.3743323302,-33049.0836826327,-33049.08174963,1,
N=13,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,,
2,-0.071183149287,54.102892845931,0.0865673589,-0.1374916716,-35802.5660271689,-35802.565253843975,0,
6,-0.070764662574,56.836652149357,0.00001085730544,-0.1192092994,-35802.5645805138,-35802.563706764355,1,
2,-0.070639227532,57.272379074582,0.2470002883,-0.01289377278,-35802.5649144782,-35802.564120743293,1,
1,-0.070632348185,54.943477376851,0.1517521929,-0.07779685936,-35802.5658700495,-35802.564754590567,0,
2,-0.070607218201,54.864088595669,0.1518825935,-0.08076942666,-35802.5659256185,-35802.564751361148,0,
2,-0.070588435449,55.55687433315,0.05850917181,-0.09788180741,-35802.5652007156,-35802.564478925131,1,
2,-0.070566317291,58.008331478042,0.1555353376,-0.2298214857,-35802.5645831145,-35802.563916901709,1,
1,-0.070544829535,56.287946442328,0.1817973251,-0.03542658579,-35802.5646639669,-35802.564042236838,1,
2,-0.070526075361,54.023102277945,0.02677645786,-0.07115194313,-35802.5658904239,-35802.565069987955,0,
4,-0.070471259588,53.797211354007,0.07836864273,-0.06289248184,-35802.5655317981,-35802.564675562608,1,
1,-0.070278657202,58.918828844675,0.2469467,-0.03934031701,-35802.5656915041,-35802.563563981013,1,
1,-0.070147556979,58.718252397373,0.109742532,-0.1269118684,-35802.5642539655,-35802.563435767195,1,
1,-0.069981243582,59.690258165087,0.1328248179,-0.2598954417,-35802.5648833697,-35802.563790392560,1,
1,-0.069879495173,60.84074053303,0.1485180904,-0.2637721419,-35802.5638937052,-35802.563043678507,1,
1,-0.069716066892,58.815129281513,0.0806786833,-0.1949568506,-35802.5650629377,-35802.564173562947,1,
2,-0.069583643591,60.559525672282,0.01613154106,-0.1617623402,-35802.5634859314,-35802.562727242825,1,
1,-0.06941757848,66.203754699637,0.08383793955,-0.4171152726,-35802.5638035927,-35802.562931988337,1,
4,-0.069296827865,64.34553322212,0.1366843889,-0.3318731267,-35802.5640204512,-35802.561746182822,1,
1,-0.068944151536,62.536450580367,0.0944327661,-0.217072465,-35802.562959815,-35802.562303068888,1,
1,-0.068856481883,60.153956607989,0.04994122693,-0.1585060042,-35802.5652888044,-35802.563909448429,1,
2,-0.068641294041,58.265801152371,0.158932526,-0.03126506955,-35802.5650642399,-35802.559207211219,1,
1,-0.068595923873,66.201255211936,0.1902512101,-0.2477930392,-35802.5635524275,-35802.562637594594,1,
1,-0.070417831465,56.043792946227,0.5951536808E-01,-0.1258454419E+00,-35802.5647909,-35802.56386476,1,
1,-0.070414190929,57.735659476031,0.1839948249E+00,-0.1559801022E+00,-35802.5653144,-35802.56455121,1,
1,-0.070346262813,56.713199874426,0.1496633405E+00,-0.3296415520E-01,-35802.5644806,-35802.56362454,1,
1,-0.070329327853,55.984068839238,0.3986881460E-01,-0.1250221845E+00,-35802.5654607,-35802.56465134,1,
1,-0.070319577408,61.935742998691,0.1339103596E+00,-0.3324511196E+00,-35802.5633327,-35802.56260667,1,
1,-0.070270216806,57.734257201813,0.1323416115E+00,-0.4819757007E-01,-35802.5642045,-35802.56336692,1,
1,-0.070229947957,59.926985222038,0.1830299307E+00,-0.1690299264E+00,-35802.5641885,-35802.56345444,1,
1,-0.070136173515,59.961318854286,0.4139517741E-01,-0.3223630210E+00,-35802.5637007,-35802.56294001,1,
2,-0.070086866089,61.165904464274,0.2851453113E-01,-0.3339146618E+00,-35802.5643536,-35802.56360002,1,
1,-0.070060172674,60.834316091686,0.1934063544E+00,-0.2109891565E+00,-35802.5636032,-35802.56293367,1,
4,-0.069953206302,50.936691996229,0.5432726008E-01,-0.2983621117E-02,-35802.5666935,-35802.56329965,0,
1,-0.069937715387,62.313466696401,0.1541221085E+00,-0.2496423677E+00,-35802.5641852,-35802.56333649,1,
1,-0.069928370688,59.248781746061,0.5634921867E-01,-0.2331573473E+00,-35802.5631733,-35802.56248938,1,
1,-0.069927695684,61.982299538416,0.8865522806E-01,-0.3453381954E+00,-35802.5631696,-35802.56228717,1,
2,-0.069926753855,58.798288562585,0.5111759849E-01,-0.2769385186E+00,-35802.564186,-35802.56343479,1,
1,-0.069923219395,60.362901134981,0.1641830695E+00,-0.2442513660E+00,-35802.5640125,-35802.56313879,1,
1,-0.069914722091,60.295875810617,0.1630630591E+00,-0.2281929333E+00,-35802.5663438,-35802.56390088,0,
1,-0.069852021151,58.977391795023,0.1171649725E+00,-0.2209459591E+00,-35802.5641322,-35802.56330980,1,
6,-0.069816818463,59.388557404448,0.4542428106E-05,-0.2223039260E+00,-35802.5653797,-35802.56483874,1,
1,-0.069689715764,63.567286842534,0.2125210748E+00,-0.2434645765E+00,-35802.5638187,-35802.56295446,1,
1,-0.069677012636,62.980171686358,0.2207993026E+00,-0.1499931326E+00,-35802.5626399,-35802.56204600,1,
1,-0.069669158019,61.266163956198,0.2232288025E+00,-0.1352351583E+00,-35802.563535,-35802.56298706,1,
2,-0.069641617215,67.995555339378,0.3929188275E-01,-0.4998088974E+00,-35802.5639883,-35802.56128618,1,
2,-0.069604330942,66.149221216158,0.3333487559E-01,-0.4723597135E+00,-35802.5623615,-35802.56162755,1,
1,-0.069505523454,62.216959550836,0.2035650934E+00,-0.1701874420E+00,-35802.5623558948,-35802.56162755,1,
1,-0.069400137848,64.614638490185,0.7537322576E-01,-0.3654172452E+00,-35802.5639032,-35802.56281214,1,
1,-0.069332759462,65.066815389511,0.6935824948E-01,-0.3988136552E+00,-35802.563163,-35802.56234493,1,
1,-0.068826062853,56.302794950591,0.7649424042E-01,-0.1353634877E+00,-35802.565341,-35802.55988588,1,
N=14,,,,,,,,
Q. Op. Sim.,Energy(algoritmo),hiperrraio,Sigma +,Sigma -,Energ. DFT,First Ene.,,
